1232	1610	56
350	18	8
417	384	5
878	957	7
1098	1014	0
646	441	0
1053	1077	2
29	59	8
606	542	7
620	505	2
1044	462	8
57	1236	6
33	1337	2
988	307	30
237	928	2
1160	0	0
421	1469	47
254	278	74
726	1062	8
116	300	2
462	1199	5
674	129	2
1203	1327	6
855	324	30
1025	1217	8
170	59	7
1552	424	8
217	1449	2
552	214	2
854	338	5
157	178	1
869	1459	2
550	118	2
273	938	2
1518	441	0
176	80	2
522	102	8
1021	39	8
1242	233	27
417	233	27
126	1315	7
49	3	10
442	769	2
729	488	2
464	168	2
222	658	0
279	1031	27
1125	21	8
453	205	2
514	1070	5
859	773	2
894	513	26
503	524	2
650	1330	15
1271	653	2
146	99	0
1522	1181	7
1029	1053	2
557	192	50
53	787	8
285	551	2
928	584	41
217	78	2
158	854	27
928	511	2
1275	1000	7
1449	722	2
1332	1409	1
718	1296	2
614	1578	5
555	1371	2
720	179	8
255	929	7
701	869	2
205	236	77
457	796	8
292	420	2
932	1491	7
730	1437	8
327	777	2
929	501	0
250	330	8
416	503	2
1163	479	2
1035	882	2
502	703	2
823	777	2
1106	1225	0
1297	1354	1
1177	229	2
588	75	3
695	1070	5
1171	1381	7
778	667	27
259	437	2
752	1418	7
1554	1132	0
372	1243	5
673	1037	2
1393	68	24
603	625	2
419	812	2
1001	1287	2
719	1389	8
502	838	2
825	1225	0
928	730	2
301	321	77
1452	376	3
747	958	3
1466	1678	1
650	888	23
493	373	6
290	1316	5
228	979	2
1024	739	27
255	757	2
86	1199	7
126	1581	8
1031	849	2
717	1289	36
544	1161	7
464	1127	8
1527	1310	8
1249	1243	5
47	716	8
295	591	2
487	139	3
357	1098	2
419	837	2
852	269	8
818	264	2
107	1550	8
387	916	59
36	627	8
458	47	7
999	1396	77
546	1381	7
541	1211	2
70	1073	2
442	206	2
1098	1348	21
1341	1335	5
391	1565	2
837	850	6
108	167	8
1399	387	8
606	730	2
563	1337	2
66	1141	2
1197	1070	5
1330	982	1
869	98	2
295	933	2
148	854	27
938	210	2
555	75	3
582	497	2
1221	829	2
514	596	33
546	1210	6
325	284	6
1424	92	7
1145	1583	8
721	563	27
854	1609	47
545	1042	2
1338	393	2
258	366	2
978	1139	30
1341	393	8
1183	861	29
1098	0	0
82	586	2
292	471	8
519	1355	1
1179	1388	7
155	1110	2
1340	1371	2
127	63	8
575	1495	2
43	791	7
369	1141	2
507	1154	59
1039	516	2
1445	893	33
1075	393	2
151	614	7
912	222	0
1515	569	2
256	1298	7
138	879	7
1265	284	6
287	624	30
569	3	8
241	528	1
543	794	2
314	1391	2
263	113	2
592	609	51
320	1399	6
1211	1338	2
570	172	8
1552	102	8
651	681	38
205	24	7
905	1199	7
244	1314	8
541	1122	2
377	1329	2
435	471	7
334	745	2
189	787	8
1058	189	27
796	172	8
1485	1357	2
895	1125	8
913	46	6
1166	1395	7
1341	1097	7
1306	101	8
626	638	27
208	399	2
357	1359	2
304	853	10
823	761	15
730	37	8
159	46	6
728	97	6
1567	591	7
308	1406	2
623	256	2
143	1342	7
634	273	6
181	90	8
177	1078	2
1232	741	1
941	43	6
905	648	2
1114	417	2
502	883	30
584	80	8
1188	119	7
179	1389	8
1009	325	1
866	293	0
501	172	8
437	685	8
1166	1125	8
590	837	2
1445	1352	2
437	1457	30
173	704	2
134	1307	13
195	116	8
934	1156	8
930	358	38
1503	1457	8
876	23	5
179	929	7
636	18	8
500	1364	2
1436	533	3
768	93	1
335	516	2
1173	62	2
297	857	2
721	1436	27
919	1321	8
36	671	2
671	720	15
1017	344	2
858	1578	5
31	269	7
593	277	8
486	208	2
1112	568	15
1041	1515	2
20	412	5
653	1328	2
1166	92	8
195	1177	72
681	244	8
1322	205	14
176	563	2
1283	888	23
934	631	15
876	727	5
439	1227	7
391	31	30
127	531	2
592	368	30
1008	937	7
1054	479	2
721	1026	27
252	380	27
1421	728	7
1054	1199	7
185	638	27
1108	568	7
913	1568	2
859	1565	2
681	1389	7
899	791	7
718	0	0
1058	936	8
228	938	2
1252	1335	5
305	654	2
279	471	2
533	773	2
23	1483	2
434	3	8
789	1061	2
1173	1329	2
527	445	66
34	696	2
980	200	30
614	1335	5
157	183	8
150	648	2
1039	90	8
101	424	8
258	1299	2
84	646	2
1456	991	2
1163	773	2
128	166	2
696	296	8
145	1461	2
539	1124	30
114	219	2
146	1014	0
1205	193	5
836	1345	30
724	499	1
190	218	2
303	1298	7
162	349	2
463	1236	8
266	441	0
641	1553	2
222	433	3
1210	939	7
341	533	3
1028	1120	2
902	881	3
592	216	50
1209	565	7
1014	813	8
1313	881	3
1014	1217	8
380	1609	47
69	513	26
1384	958	5
463	1305	8
1163	1555	2
578	37	8
1282	1292	30
218	68	24
57	377	6
350	462	8
859	638	27
438	593	7
28	1321	8
488	497	2
1354	591	2
434	834	8
442	1127	8
201	113	75
246	419	7
825	908	8
817	1207	8
442	929	7
568	420	6
240	1161	7
577	626	2
373	393	8
406	877	7
769	808	6
1	865	6
271	1309	2
1539	412	5
406	792	7
430	517	1
672	762	2
808	604	2
804	857	2
898	856	2
1140	910	2
1037	1161	7
193	295	57
1270	460	1
337	281	27
32	1491	7
1000	1541	2
145	504	2
808	620	2
1253	853	12
1509	1498	57
713	474	2
1382	805	7
1540	1321	8
1439	258	31
1325	1381	7
865	1086	8
1394	189	27
148	648	2
731	1322	13
603	903	2
210	762	2
244	1457	8
614	88	1
670	1396	8
657	1070	7
368	720	15
1188	287	50
1383	627	7
751	1606	2
619	1458	2
454	1069	2
1424	147	7
541	1304	5
1317	35	27
889	68	24
900	728	8
205	722	14
1184	1042	2
365	584	1
303	936	8
1304	958	5
1253	1090	2
1131	222	15
186	75	5
480	1073	2
550	2	2
390	1315	7
1338	390	8
152	492	2
160	833	7
626	1364	2
437	1161	7
51	1500	30
1136	1315	5
24	1173	2
990	582	57
58	1525	2
1054	1555	2
1166	1578	5
206	651	53
729	223	26
1288	163	8
1035	289	2
308	770	2
1080	1120	2
155	334	2
737	1047	30
1258	222	8
707	360	2
338	59	7
183	31	2
266	18	8
632	808	8
266	743	3
999	907	77
1500	1345	2
648	623	6
1303	1217	7
636	252	2
651	1586	5
479	638	27
1179	1570	7
800	1451	2
713	992	2
470	53	2
133	1243	5
58	1037	2
1239	861	30
688	292	2
1035	681	27
601	804	7
1292	1500	30
792	26	2
552	594	10
226	221	2
88	69	7
97	1457	8
347	97	8
900	150	2
594	1383	2
787	199	7
1570	588	8
880	59	8
717	1070	2
704	550	1
900	1450	2
546	1499	10
623	1198	54
372	114	8
839	1224	2
641	1450	2
151	1097	7
278	416	2
47	1388	7
1394	647	27
9	1407	1
383	704	30
357	1404	2
541	1195	2
1121	1405	2
371	936	8
377	1328	2
445	1070	2
1547	65	8
381	172	8
191	949	44
1174	226	2
370	1337	20
454	1062	8
789	562	23
639	642	2
494	99	0
503	36	2
601	1176	7
1055	1307	13
259	1161	7
1180	1214	2
533	173	30
872	1333	2
455	1169	2
112	1417	27
165	541	2
806	812	1
613	18	8
1442	49	1
122	1367	2
1196	1384	8
1084	646	8
1085	245	13
185	882	27
531	1345	2
1252	975	2
125	798	2
281	1242	27
1093	293	0
598	781	30
1000	1439	33
1039	1333	2
143	1097	7
907	1330	2
1252	1583	8
189	1381	7
1103	244	8
721	1075	27
263	853	12
1037	1491	7
629	1325	5
1177	235	27
1460	1176	15
344	770	2
457	1389	7
232	1344	5
1449	1393	2
305	1177	2
661	613	6
134	1322	13
792	1375	27
702	795	7
233	42	8
769	865	6
1039	159	2
418	519	30
1284	658	0
167	1156	8
628	762	2
555	1125	6
941	808	6
139	843	2
434	1291	14
408	848	8
1084	228	8
1413	685	8
404	315	2
23	53	2
1383	697	7
255	265	8
620	638	27
739	68	24
277	1160	2
81	1191	12
789	89	2
1337	1086	8
1340	1161	7
724	348	7
361	955	2
675	1340	2
1185	18	8
139	37	8
961	1247	1
471	1212	8
606	534	1
863	32	7
900	616	2
1025	2	2
285	1035	2
1144	90	8
74	289	2
277	0	0
360	1138	2
74	26	2
1061	1253	2
707	743	3
365	1062	8
787	1395	7
1287	368	33
545	905	2
338	671	30
35	1024	2
492	1376	2
997	265	7
360	982	7
1568	693	2
456	1416	2
1303	820	8
1281	808	6
